Code Rejet;Libellé rejet;Fichier Source;Appli Source;Folio;Région;Type;Société;Numéro pièce;Date pièce comptable;Compte Frs;Compte local;Montant Ligne;TF;Type dépense;Quantité;Type TVA;Devise;Description ligne;Date création GDR;Date Arrêté comptable;Date d'échéance;Fichier SRC technique;ID GDR;Line GDR
OAE025;Site Fournisseur inactif ou inexistant;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;401050;56.060000;GL1533887D;;0.000010;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746480
;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;606103;5.700000;GL1533887D;ACHAT ELECTRICITE P2;0.098000;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746481
;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;606103;5.120000;GL1533887D;ACHAT ELECTRICITE P2;1.000000;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746482
;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;606103;0.290000;GL1533887D;ACHAT ELECTRICITE P2;0.098000;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746483
;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;606103;34.100000;GL1533887D;ACHAT ELECTRICITE P2;3.000000;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746484
;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;606103;1.510000;GL1533887D;ACHAT ELECTRICITE P2;0.098000;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746485
;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;445660;9.340000;GL1533887D;;0.000010;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746486
;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;445659;9.340000;GL1533887D;;0.000010;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746487
;;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000003D - DSW REGION NORD-OUEST;Facture;0523;10260653531;17/09/2026;24775-FRA13276;445769;-9.340000;GL1533887D;;0.000010;;EUR;FAC 50097190789856 10260653531  3605241309;22/09/2026;25/09/2026;17/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592203;8746488
OAE025;Site Fournisseur inactif ou inexistant;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;CELERIS;CEE - CELERIS Achats Electricité;B00000007H - DEW REGION MEDITERRANEE;Facture;0675;10260548897;16/09/2026;24775-FRA13344-A;401050;481.080000;GL0019483P;;0.000010;;EUR;FAC 30002521083234 10260548897  2828774727;22/09/2026;25/09/2026;16/09/2026;CEL01_SRC_FACTURESFOURNISSEURS_210926-201628_ST_CEL01_639256185881865112_001;592205;8746497
