Code Rejet;Libellé rejet;Fichier Source;Appli Source;Folio;Région;Type;Société;Numéro pièce;Date pièce comptable;Compte Frs;Compte local;Montant Ligne;TF;Type dépense;Quantité;Type TVA;Devise;Description ligne;Date création GDR;Date Arrêté comptable;Date d'échéance;Fichier SRC technique;ID GDR;Line GDR
OAE024;Fournisseur inactif ou inexistant;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;DACAR;VFF - DACAR Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0001;2,65621E+13;12/05/2026;S00033773-FRA94262;401100;1785.840000;GK0028795X;ENTRETIEN  ET AMENAG.DIVERS;0.000000;;EUR;Facture Renault Retail Fresnes 2,65621E+13 052026;07/08/2026;25/08/2026;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;591043;8615256
;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;DACAR;VFF - DACAR Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0001;2,65621E+13;12/05/2026;S00033773-FRA94262;615510;169.770000;GK0001033Z;ENTRETIEN  ET AMENAG.DIVERS;1.000000;;EUR;Facture Renault Retail Fresnes 2,65621E+13 052026;07/08/2026;25/08/2026;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;591043;8615257
;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;DACAR;VFF - DACAR Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0001;2,65621E+13;12/05/2026;S00033773-FRA94262;615510;610.100000;GK0031444G;ENTRETIEN  ET AMENAG.DIVERS;1.000000;;EUR;Facture Renault Retail Fresnes 2,65621E+13 052026;07/08/2026;25/08/2026;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;591043;8615258
;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;DACAR;VFF - DACAR Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0001;2,65621E+13;12/05/2026;S00033773-FRA94262;615510;708.330000;GK0001015D;ENTRETIEN  ET AMENAG.DIVERS;1.000000;;EUR;Facture Renault Retail Fresnes 2,65621E+13 042026;07/08/2026;25/08/2026;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;591043;8615259
;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;DACAR;VFF - DACAR Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0001;2,65621E+13;12/05/2026;S00033773-FRA94262;445661;297.640000;GK0028795X;ENTRETIEN  ET AMENAG.DIVERS;0.000000;;EUR;Facture Renault Retail Fresnes 2,65621E+13 052026;07/08/2026;25/08/2026;;VHC03_SRC_FACTURESFOURNISSEURS_070826_155537;591043;8615260
OAE025;Site Fournisseur inactif ou inexistant;VHC03_SRC_FACTURESFOURNISSEURS_100826_114541;DACAR;VFF - DACAR Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0119;24/12/2025;24/12/2025;S00128505-FRA63200;401100;672.720000;GK0028804G;ENTRETIEN  ET AMENAG.DIVERS;0.000000;;EUR;Facture VGRF AUVERGNE 24/12/2025 122025;14/08/2026;25/08/2026;;FIN02_SRC_FACTURESFOURNISSEURS_20260814-104219;591169;8615814
;;VHC03_SRC_FACTURESFOURNISSEURS_100826_114541;DACAR;VFF - DACAR Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0119;24/12/2025;24/12/2025;S00128505-FRA63200;615510;560.600000;GK0513010R;ENTRETIEN  ET AMENAG.DIVERS;1.000000;;EUR;Facture VGRF AUVERGNE 24/12/2025 122025;14/08/2026;25/08/2026;;FIN02_SRC_FACTURESFOURNISSEURS_20260814-104219;591169;8615815
;;VHC03_SRC_FACTURESFOURNISSEURS_100826_114541;DACAR;VFF - DACAR Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0119;24/12/2025;24/12/2025;S00128505-FRA63200;445661;112.120000;GK0028804G;ENTRETIEN  ET AMENAG.DIVERS;0.000000;;EUR;Facture VGRF AUVERGNE 24/12/2025 122025;14/08/2026;25/08/2026;;FIN02_SRC_FACTURESFOURNISSEURS_20260814-104219;591169;8615816
OAE013;Impossible de trouver le projet de refacturation;VHC03_SRC_FACTURESFOURNISSEURS_120826_165220;DACAR;VFF - DACAR Factures Fournisseurs;B00000008J - DMS REGION CENTRE-EST;Facture;0441;F6K26988;30/06/2026;24693-FRA38403;615510;26.600000;GK0650424T;ENTRETIEN  ET AMENAG.DIVERS;4.000000;;EUR;Facture TOTAL F6K26988 062026;14/08/2026;25/08/2026;;VHC03_SRC_FACTURESFOURNISSEURS_120826_165220;591170;8615817
;;VHC03_SRC_FACTURESFOURNISSEURS_120826_165220;DACAR;VFF - DACAR Factures Fournisseurs;B00000008J - DMS REGION CENTRE-EST;Facture;0441;F6K26988;30/06/2026;24693-FRA38403;401100;13184.480000;GK0029073M;ENTRETIEN  ET AMENAG.DIVERS;0.000000;;EUR;Facture TOTAL F6K26988 062026;14/08/2026;25/08/2026;;VHC03_SRC_FACTURESFOURNISSEURS_120826_165220;591170;8615818
