Code Rejet;Libellé rejet;Fichier Source;Appli Source;Folio;Région;Type;Société;Numéro pièce;Date pièce comptable;Compte Frs;Compte local;Montant Ligne;TF;Type dépense;Quantité;Type TVA;Devise;Description ligne;Date création GDR;Date Arrêté comptable;Date d'échéance;Fichier SRC technique;ID GDR;Line GDR
OAE025;Site Fournisseur inactif ou inexistant;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;401100;21586.440000;GL1122214T;;0.000010;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541431
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;606103;10225.690000;GL1122214T;DEBOURS P1 ELECTRICITE;97.170000;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541432
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;606103;107.280000;GL1122214T;DEBOURS P1 ELEC TAXES;1.000000;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541433
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;606103;2582.780000;GL1122214T;DEBOURS P1 ELEC TAXES;97.170000;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541434
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;606103;715.190000;GL1122214T;DEBOURS P1 ELEC TURPE PF;3.000000;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541435
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;606103;3215.140000;GL1122214T;DEBOURS P1 ELEC TURPE PV;97.170000;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541436
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;606103;1056.240000;GL1122214T;DEBOURS P1 ELECTRICITE;97.170000;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541437
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;606103;86.380000;GL1122214T;DEBOURS P1 ELECTRICITE;57.208000;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541438
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;670000496062;07/04/2026;70095-FRA59783;445660;3597.740000;GL1122214T;;0.000010;;EUR;FAC 50092283991670 670000496062;03/06/2026;25/06/2026;07/04/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588984;8541439
OAE025;Site Fournisseur inactif ou inexistant;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;750000543275;06/05/2026;70095-FRA59783;401100;11777.900000;GL1122214T;;0.000010;;EUR;FAC 50092283991670 750000543275;03/06/2026;25/06/2026;06/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588983;8541423
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;750000543275;06/05/2026;70095-FRA59783;606103;5116.760000;GL1122214T;DEBOURS P1 ELECTRICITE;84.219000;;EUR;FAC 50092283991670 750000543275;03/06/2026;25/06/2026;06/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588983;8541424
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;750000543275;06/05/2026;70095-FRA59783;606103;103.820000;GL1122214T;DEBOURS P1 ELEC TAXES;1.000000;;EUR;FAC 50092283991670 750000543275;03/06/2026;25/06/2026;06/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588983;8541425
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;750000543275;06/05/2026;70095-FRA59783;606103;2238.540000;GL1122214T;DEBOURS P1 ELEC TAXES;84.219000;;EUR;FAC 50092283991670 750000543275;03/06/2026;25/06/2026;06/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588983;8541426
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;750000543275;06/05/2026;70095-FRA59783;606103;692.110000;GL1122214T;DEBOURS P1 ELEC TURPE PF;3.000000;;EUR;FAC 50092283991670 750000543275;03/06/2026;25/06/2026;06/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588983;8541427
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;750000543275;06/05/2026;70095-FRA59783;606103;748.230000;GL1122214T;DEBOURS P1 ELEC TURPE PV;84.219000;;EUR;FAC 50092283991670 750000543275;03/06/2026;25/06/2026;06/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588983;8541428
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;750000543275;06/05/2026;70095-FRA59783;606103;915.460000;GL1122214T;DEBOURS P1 ELECTRICITE;84.219000;;EUR;FAC 50092283991670 750000543275;03/06/2026;25/06/2026;06/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588983;8541429
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;750000543275;06/05/2026;70095-FRA59783;445660;1962.980000;GL1122214T;;0.000010;;EUR;FAC 50092283991670 750000543275;03/06/2026;25/06/2026;06/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588983;8541430
OAE025;Site Fournisseur inactif ou inexistant;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;401100;22668.670000;GL1122214T;;0.000010;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541413
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;606103;10671.100000;GL1122214T;DEBOURS P1 ELECTRICITE;101.123000;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541414
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;606103;96.900000;GL1122214T;DEBOURS P1 ELEC TAXES;1.000000;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541415
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;606103;2687.850000;GL1122214T;DEBOURS P1 ELEC TAXES;101.123000;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541416
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;606103;645.970000;GL1122214T;DEBOURS P1 ELEC TURPE PF;3.000000;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541417
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;606103;3598.530000;GL1122214T;DEBOURS P1 ELEC TURPE PV;101.123000;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541418
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;606103;23.630000;GL1122214T;DEBOURS P1 ELECTRICITE;15.649000;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541419
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;606103;1099.210000;GL1122214T;DEBOURS P1 ELECTRICITE;101.123000;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541420
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;606103;67.370000;GL1122214T;DEBOURS P1 ELECTRICITE;44.614000;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541421
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;850006062658;05/03/2026;70095-FRA59783;445660;3778.110000;GL1122214T;;0.000010;;EUR;FAC 50092283991670 850006062658;03/06/2026;25/06/2026;05/03/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588982;8541422
OAE025;Site Fournisseur inactif ou inexistant;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;401100;27841.400000;GL1122214T;;0.000010;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541403
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;606103;13186.450000;GL1122214T;DEBOURS P1 ELECTRICITE;124.219000;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541404
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;606103;156.840000;GL1122214T;DEBOURS P1 ELEC TAXES;1.000000;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541405
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;606103;3203.610000;GL1122214T;DEBOURS P1 ELEC TAXES;124.219000;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541406
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;606103;715.190000;GL1122214T;DEBOURS P1 ELEC TURPE PF;3.000000;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541407
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;606103;4474.120000;GL1122214T;DEBOURS P1 ELEC TURPE PV;124.219000;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541408
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;606103;30.060000;GL1122214T;DEBOURS P1 ELECTRICITE;19.910000;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541409
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;606103;1350.260000;GL1122214T;DEBOURS P1 ELECTRICITE;124.219000;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541410
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;606103;84.640000;GL1122214T;DEBOURS P1 ELECTRICITE;56.051000;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541411
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEE - CELERIS Achats Electricité;B00000002C - DRW REGION ILE DE FRANCE;Facture;0001;980006212389;17/02/2026;70095-FRA59783;445660;4640.230000;GL1122214T;;0.000010;;EUR;FAC 50092283991670 980006212389;03/06/2026;25/06/2026;17/02/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588981;8541412
OAE025;Site Fournisseur inactif ou inexistant;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;401100;94629.780000;GL1635058W;;0.000010;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541440
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;602210;2114.510000;GL1635058W;DEBOURS P1 GAZ PARTIES FIXES;2.000000;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541441
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;602210;5900.780000;GL1635058W;DEBOURS P1 GAZ PARTIES FIXES;2.000000;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541442
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;602210;173.590000;GL1635058W;DEBOURS P1 GAZ STOCKAGE;1.000000;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541443
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;602210;46683.270000;GL1635058W;DEBOURS P1 GAZ;1367.407000;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541444
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;602210;1022.590000;GL1635058W;DEBOURS P1 GAZ PARTIES FIXES;2.000000;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541445
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;602210;21099.090000;GL1635058W;TICGN GAZ;1367.407000;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541446
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;602210;250.780000;GL1635058W;DEBOURS P1 GAZ PARTIES FIXES;2.000000;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541447
;;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;CELERIS;CEG - CELERIS Achats Gaz;B00000005F - DNA REGION SUD OUEST;Facture;0001;1001174691;29/05/2026;76857-FRA75009;602210;1613.540000;GL1635058W;DEBOURS P1 GAZ DISTRIBUTION;1367.407000;;EUR;FAC GAZGI121309 1001174691;03/06/2026;25/06/2026;29/05/2026;CEL01_SRC_FACTURESFOURNISSEURS_020626-200619_ST_CEL01_639160275797193567_001;588985;8541448
